skill_id,skill_name
1,!Trak-it Solutions !Trak-it HR
2,100 Plus Hatch Pattern Library
3,1003 Uniform Residential Loan Application
4,1099 ProsSoftware
5,1CadCam Unigraphics
6,1ST Pricing Window & Door Toolkit
7,20-20 Technologies 20-20 Design
8,24SevenOffice Project
9,2AB iLock Security Services
10,360 Analytics eQUEST
11,3D Nature LLC Visual Nature Studio
12,3D Nature LLC World Construction Set
13,3D Printing software
14,3D Static Strength Prediction Program 3DSSPP
15,3D Systems Geomagic Design X
16,3D Systems GibbsCAM
17,3D graphic design software
18,3D graphics software
19,3D motion analysis software
20,3D urban simulation modeling software
21,3DGrid HIPAA Checkup
22,3M Electronic Monitoring
23,3M Encoder
24,3M Post-it App
25,3PL Central
26,3dMapper
27,4n6xprt Systems StiffCalcs
28,5AM Glassbox Translational Research
29,80-20 Software Leaders4
30,911 system information databases
31,@Road GeoManager
32,A Large Outdoor Fire plume Trajectory model Flat Terrain ALOFT-FT
33,A mathematical programming language AMPL
34,A programming language APL
35,A&D Technology iTest
36,A-Systems JobView
37,A-T Solutions Easy Street Draw
38,A1-Law
39,AABACH Graphic Systems DIGRA
40,AASoftTech Web Organization Chart
41,ABB CPM4Metals
42,ABB MicroSCADA Pro DMS
43,ABB MicroSCADA Pro SYS
44,ABB Optimize IT Predict & Control
45,ABB PSGuard
46,ABB Production Planning
47,ABB RobotStudio
48,ABC Compiler
49,ABC programming language
50,ABC: the AspectBench Compiler for AspectJ
51,ABELSoft ABELDent
52,ABOL Manifest Systems
53,ACCA Manual J
54,ACCUCert
55,ACD Systems Canvas
56,ACE Dental
57,ACI Appraiser's Choice
58,ACI TaskTracker
59,ACL Analytics
60,ACL Audit Exchange
61,ACL Business Assurance Analytics
62,ACMS Casewatch Millenium
63,ACOM Solutions RAPID EMR
64,ACS Technologies ACS Financial Suite
65,ACS Technologies HeadMaster
66,ACT Contractors Forms
67,ACT Discover
68,ACT WorkKeys
69,ACT! ACT4Advisors
70,ACT! Premium
71,AD OPT Altitude
72,ADAPT-Modeler
